Month,Branch / Line,OTP,AM Peak,PM Peak,Off Peak
01/01/2015,Babylon,0.899092,0.853618,0.815789,0.927
01/01/2015,Far Rockaway,0.941245,0.837321,0.912281,0.961
01/01/2015,Hempstead,0.940344,0.894737,0.912281,0.951
01/01/2015,Huntington,0.879638,0.814035,0.793233,0.903
01/01/2015,Long Beach,0.903586,0.850877,0.84689,0.922
01/01/2015,Montauk,0.882625,0.842105,0.808917,0.901
01/01/2015,Oyster Bay,0.926667,0.917293,0.815789,0.948
01/01/2015,Port Jefferson,0.861423,0.782895,0.849624,0.879
01/01/2015,Port Washington,0.91576,0.877193,0.800554,0.941
01/01/2015,Ronkonkoma,0.868255,0.78655,0.851974,0.889
01/01/2015,System Total,0.902794,0.844664,0.835703,0.925
01/01/2015,West Hempstead,0.938383,0.873684,0.885965,0.96
02/01/2015,Babylon,0.863895,0.745066,0.834586,0.901
02/01/2015,Far Rockaway,0.928304,0.799043,0.923977,0.951
02/01/2015,Hempstead,0.919631,0.889474,0.824561,0.939
02/01/2015,Huntington,0.833491,0.712281,0.770677,0.866
02/01/2015,Long Beach,0.900952,0.785088,0.856459,0.932
02/01/2015,Montauk,0.839196,0.717105,0.839744,0.86
02/01/2015,Oyster Bay,0.863905,0.796992,0.754386,0.9
02/01/2015,Port Jefferson,0.774421,0.664474,0.744361,0.804
02/01/2015,Port Washington,0.870504,0.80117,0.711911,0.912
02/01/2015,Ronkonkoma,0.842206,0.719298,0.865132,0.867
02/01/2015,System Total,0.868241,0.764985,0.810747,0.9
02/01/2015,West Hempstead,0.92623,0.905263,0.780702,0.962
03/01/2015,Babylon,0.905015,0.870922,0.849026,0.927
03/01/2015,Far Rockaway,0.950774,0.88843,0.934343,0.964
03/01/2015,Hempstead,0.944575,0.927273,0.89899,0.955
03/01/2015,Huntington,0.871202,0.867069,0.814935,0.882
03/01/2015,Long Beach,0.934733,0.916667,0.892562,0.947
03/01/2015,Montauk,0.895349,0.886364,0.844444,0.907
03/01/2015,Oyster Bay,0.909474,0.915584,0.810606,0.928
03/01/2015,Port Jefferson,0.850277,0.823864,0.805195,0.866
03/01/2015,Port Washington,0.923077,0.89899,0.830144,0.946
03/01/2015,Ronkonkoma,0.831911,0.762626,0.806818,0.855
03/01/2015,System Total,0.904002,0.872555,0.849829,0.921
03/01/2015,West Hempstead,0.954988,0.945455,0.931818,0.962
04/01/2015,Babylon,0.935801,0.947443,0.909091,0.939
04/01/2015,Far Rockaway,0.979873,0.950413,0.979798,0.985
04/01/2015,Hempstead,0.965286,0.981818,0.939394,0.967
04/01/2015,Huntington,0.910382,0.918182,0.866883,0.917
04/01/2015,Long Beach,0.945412,0.94697,0.921488,0.95
04/01/2015,Montauk,0.94604,0.948864,0.927778,0.95
04/01/2015,Oyster Bay,0.963441,0.980519,0.886364,0.975
04/01/2015,Port Jefferson,0.92215,0.931818,0.915584,0.921
04/01/2015,Port Washington,0.935808,0.936869,0.880383,0.947
04/01/2015,Ronkonkoma,0.905364,0.871212,0.892045,0.917
04/01/2015,System Total,0.93894,0.9375,0.907509,0.946
04/01/2015,West Hempstead,0.968905,0.963636,0.924242,0.98
05/01/2015,Babylon,0.926234,0.948438,0.864769,0.934
05/01/2015,Far Rockaway,0.956921,0.931818,0.927778,0.965
05/01/2015,Hempstead,0.962143,0.96,0.927778,0.967
05/01/2015,Huntington,0.911229,0.94,0.867857,0.913
05/01/2015,Long Beach,0.950346,0.916667,0.918182,0.962
05/01/2015,Montauk,0.904089,0.91875,0.88024,0.906
05/01/2015,Oyster Bay,0.947368,0.957143,0.866667,0.959
05/01/2015,Port Jefferson,0.925447,0.9375,0.864286,0.935
05/01/2015,Port Washington,0.894281,0.927778,0.813158,0.903
05/01/2015,Ronkonkoma,0.93074,0.927778,0.921875,0.933
05/01/2015,System Total,0.928859,0.936806,0.879356,0.936
05/01/2015,West Hempstead,0.954887,0.93,0.883333,0.974
06/01/2015,Babylon,0.927643,0.946023,0.890323,0.932
06/01/2015,Far Rockaway,0.949309,0.958678,0.944444,0.948
06/01/2015,Hempstead,0.939446,0.986364,0.914141,0.935
06/01/2015,Huntington,0.907276,0.972727,0.892857,0.897
06/01/2015,Long Beach,0.943613,0.958333,0.942149,0.941
06/01/2015,Montauk,0.922648,0.948864,0.913043,0.92
